"ProdLine","ItemNumber","Description","StdPrice","Multiplier","Price","ProdLinePricing","BreakQty1","PriceRate1","BreakQty2","PriceRate2","BestPrice"
"AMEC","12086-0210A","BN Pop up Rod",12.72,"0.5166 ",6.57,0.00,0.00,0.00,0.00,0.00,6.57
"AMEC","12086-0990A","PB Pop up Rod",12.96,"0.5166 ",6.70,0.00,0.00,0.00,0.00,0.00,6.70
"AMEC","12087-0070A","Seal Kit",5.80,"0.5166 ",3.00,0.00,0.00,0.00,0.00,0.00,3.00
"AMEC","12088-0020A","CP Gsnk Spt Kit",55.90,"0.5166 ",28.88,0.00,0.00,0.00,0.00,0.00,28.88
"AMEC","12088-0200A","WH Gsnk Spt Kit",55.87,"0.5166 ",28.86,0.00,0.00,0.00,0.00,0.00,28.86
"AMEC","12088-0210A","BN Gsnk Spt Kit",68.65,"0.5166 ",35.46,0.00,0.00,0.00,0.00,0.00,35.46
"AMEC","12088-0990A","PB Gsnk Spt Kit",68.30,"0.5166 ",35.28,0.00,0.00,0.00,0.00,0.00,35.28
"AMEC","12111-0070A","Tee & Tube Kit",24.50,"0.5166 ",12.66,0.00,0.00,0.00,0.00,0.00,12.66
"AMEC","12112-0070A","Seal & Cplg Kit",9.50,"0.5166 ",4.91,0.00,0.00,0.00,0.00,0.00,4.91
"AMEC","12124-0020A","CP Gsnk Spt",64.00,"0.5166 ",33.06,0.00,0.00,0.00,0.00,0.00,33.06
"AMEC","12124-0030A","MC Gsnk Spt",98.35,"0.5166 ",50.81,0.00,0.00,0.00,0.00,0.00,50.81
"AMEC","12124-0200A","WH Gsnk Spt",103.58,"0.5166 ",53.51,0.00,0.00,0.00,0.00,0.00,53.51
"AMEC","12124-0210A","BN Gsnk Spt",101.89,"0.5166 ",52.64,0.00,0.00,0.00,0.00,0.00,52.64
"AMEC","12124-0990A","PB Gsnk Spt",67.41,"0.5166 ",34.82,0.00,0.00,0.00,0.00,0.00,34.82
"AMEC","12128-0020A","CP Gsnk Spt",59.40,"0.5166 ",30.69,0.00,0.00,0.00,0.00,0.00,30.69
"AMEC","12128-0030A","MC Gsnk Spt",83.07,"0.5166 ",42.91,0.00,0.00,0.00,0.00,0.00,42.91
"AMEC","12128-0200A","WH Gsnk Spt",105.54,"0.5166 ",54.52,0.00,0.00,0.00,0.00,0.00,54.52
"AMEC","12128-0210A","BN Gsnk Spt",98.91,"0.5166 ",51.10,0.00,0.00,0.00,0.00,0.00,51.10
"AMEC","12128-0990A","PB Gsnk Spt",281.30,"0.5166 ",145.32,0.00,0.00,0.00,0.00,0.00,145.32
"AMEC","12153-0020A","Long CP Hdle Skirt",6.60,"0.5166 ",3.41,0.00,0.00,0.00,0.00,0.00,3.41
"AMEC","12153-0030A","Long MC Hdle Skirt",9.65,"0.5166 ",4.99,0.00,0.00,0.00,0.00,0.00,4.99
"AMEC","12153-0200A","Long WH Hdle Skirt",10.79,"0.5166 ",5.57,0.00,0.00,0.00,0.00,0.00,5.57
"AMEC","12153-0210A","Long BN Hdle Skirt",14.64,"0.5166 ",7.56,0.00,0.00,0.00,0.00,0.00,7.56
"AMEC","12153-0990A","Long PB Hdle Skirt",16.85,"0.5166 ",8.70,0.00,0.00,0.00,0.00,0.00,8.70
"AMEC","12157-0020A","Short CP Hdle Skirt",6.30,"0.5166 ",3.25,0.00,0.00,0.00,0.00,0.00,3.25
"AMEC","12157-0030A","Short MC Hdle Skirt",11.16,"0.5166 ",5.77,0.00,0.00,0.00,0.00,0.00,5.77
"AMEC","12157-0210A","Short BN Hdle Skirt",14.50,"0.5166 ",7.49,0.00,0.00,0.00,0.00,0.00,7.49
"AMEC","12157-0990A","Short PB Hdle Skirt",18.30,"0.5166 ",9.45,0.00,0.00,0.00,0.00,0.00,9.45
"AMEC","12157-2950A","Short Satin Hdle Skirt",16.70,"0.5166 ",8.63,0.00,0.00,0.00,0.00,0.00,8.63
"AMEC","12166-0200A","WH Esch Kit",26.70,"0.5166 ",13.79,0.00,0.00,0.00,0.00,0.00,13.79
"AMEC","12166-0210A","BN Esch Kit",26.50,"0.5166 ",13.69,0.00,0.00,0.00,0.00,0.00,13.69
"AMEC","12166-0990A","PB Esch Kit",38.20,"0.5166 ",19.73,0.00,0.00,0.00,0.00,0.00,19.73
"AMEC","12167-0020A","Long CP Hdle Skirt",16.00,"0.5166 ",8.27,0.00,0.00,0.00,0.00,0.00,8.27
"AMEC","12167-0200A","Long WH Hdle Skirt",23.80,"0.5166 ",12.30,0.00,0.00,0.00,0.00,0.00,12.30
"AMEC","12167-0210A","Long BN Hdle Skirt",15.62,"0.5166 ",8.07,0.00,0.00,0.00,0.00,0.00,8.07
"AMEC","12167-0990A","Long PB Hdle Skirt",30.70,"0.5166 ",15.86,0.00,0.00,0.00,0.00,0.00,15.86
"AMEC","12181-0020A","Short CP Hdle Skirt",15.70,"0.5166 ",8.11,0.00,0.00,0.00,0.00,0.00,8.11
"AMEC","12181-0030A","Short MC Hdle Skirt",17.97,"0.5166 ",9.28,0.00,0.00,0.00,0.00,0.00,9.28
"AMEC","12181-0200A","Short WH Hdle Kit",23.00,"0.5166 ",11.88,0.00,0.00,0.00,0.00,0.00,11.88
"AMEC","12181-0210A","Short BN Hdle Skirt",15.37,"0.5166 ",7.94,0.00,0.00,0.00,0.00,0.00,7.94
"AMEC","12182-0020A","CP Spt",63.50,"0.5166 ",32.80,0.00,0.00,0.00,0.00,0.00,32.80
"AMEC","12182-0200A","WH Spt",118.20,"0.5166 ",61.06,0.00,0.00,0.00,0.00,0.00,61.06
"AMEC","12182-0210A","BN Spt",118.20,"0.5166 ",61.06,0.00,0.00,0.00,0.00,0.00,61.06
"AMEC","12182-0990A","PB Spt",188.90,"0.5166 ",97.59,0.00,0.00,0.00,0.00,0.00,97.59
"AMEC","12189-0020A","CP Index Btn",3.90,"0.5166 ",2.01,0.00,0.00,0.00,0.00,0.00,2.01
"AMEC","12189-0200A","WH Index Btn",8.31,"0.5166 ",4.29,0.00,0.00,0.00,0.00,0.00,4.29
"AMEC","12202-0020A","CP D Style Spt Kit",67.80,"0.5166 ",35.03,0.00,0.00,0.00,0.00,0.00,35.03
"AMEC","12202-0200A","WH D Style Spt Kit",76.96,"0.5166 ",39.76,0.00,0.00,0.00,0.00,0.00,39.76
"AMEC","12202-0210A","BN D Style Spt Kit",198.70,"0.5166 ",102.65,0.00,0.00,0.00,0.00,0.00,102.65
"AMEC","12202-0990A","PB D Style Spt Kit",98.78,"0.5166 ",51.03,0.00,0.00,0.00,0.00,0.00,51.03
